date,departure_date,days_until_departure,fare_class,price,competitor_price,fuel_price_index,capacity,bookings,day_of_week,month,is_weekend,is_holiday
2023-10-10,2024-01-07,89,Business,1007.1,838.3,107.71,40,6,6,1,1,0
2023-10-17,2024-01-07,82,Economy,368.4,329.46,109.1,180,67,6,1,1,0
2023-10-27,2024-01-07,72,Business,1174.58,1210.41,104.96,40,11,6,1,1,0
2023-10-30,2024-01-07,69,Economy,371.14,417.32,100.03,180,74,6,1,1,0
2023-11-02,2024-01-07,66,Business,1228.54,1331.1,111.48,40,14,6,1,1,0
2023-11-03,2024-01-07,65,Business,1146.49,932.48,105.56,40,16,6,1,1,0
2023-11-05,2024-01-07,63,Business,1283.24,1098.05,111.74,40,8,6,1,1,0
2023-11-12,2024-01-07,56,Economy,413.52,409.23,116.77,180,79,6,1,1,0
2023-11-26,2024-01-07,42,Business,1241.26,1408.87,113.7,40,16,6,1,1,0
2023-11-28,2024-01-07,40,Business,1337.96,1269.87,115.32,40,9,6,1,1,0
2023-12-11,2024-01-07,27,Business,1300.12,1407.08,110.94,40,17,6,1,1,0
2023-12-16,2024-01-07,22,Business,1379.62,1193.43,110.95,40,20,6,1,1,0
2023-12-25,2024-01-07,13,Business,1574.81,1627.5,117.17,40,12,6,1,1,0
2023-12-28,2024-01-07,10,Business,1349.71,1436.82,105.74,40,13,6,1,1,0
2023-12-30,2024-01-07,8,Business,1458.53,1695.97,111.83,40,14,6,1,1,0
2024-01-06,2024-01-07,1,Business,1414.27,1612.74,100.84,40,14,6,1,1,0
2023-07-27,2024-01-10,167,First,2356.09,2999.76,101.74,12,0,2,1,0,0
2023-08-09,2024-01-10,154,First,2402.24,2214.65,114.06,12,2,2,1,0,0
2023-08-26,2024-01-10,137,First,2544.77,3031.25,106.86,12,5,2,1,0,0
2023-09-08,2024-01-10,124,First,2515.99,2719.05,104.83,12,8,2,1,0,0
2023-09-12,2024-01-10,120,First,2607.95,2887.19,111.21,12,8,2,1,0,0
2023-09-23,2024-01-10,109,First,3104.22,2899.04,110.16,12,9,2,1,0,0
2023-10-10,2024-01-10,92,First,3132.54,2881.88,107.94,12,10,2,1,0,0
2023-10-14,2024-01-10,88,First,2725.63,3384.25,122.75,12,10,2,1,0,0
2023-10-20,2024-01-10,82,First,2852.37,2719.53,108.57,12,11,2,1,0,0
2023-11-22,2024-01-10,49,First,3581.76,3863.56,102.53,12,12,2,1,0,0
2023-12-20,2024-01-10,21,First,3691.34,3612.71,113.08,12,12,2,1,0,0
2023-12-27,2024-01-10,14,First,3748.47,4787.45,109.13,12,12,2,1,0,0
2023-07-26,2024-01-11,169,Economy,241.04,258.47,107.39,180,5,3,1,0,0
2023-08-08,2024-01-11,156,Economy,281.5,382.1,112.1,180,14,3,1,0,0
2023-09-21,2024-01-11,112,Economy,338.43,414.49,107.71,180,17,3,1,0,0
2023-10-08,2024-01-11,95,Economy,305.66,267.76,106.09,180,19,3,1,0,0
2023-10-22,2024-01-11,81,Economy,356.38,415.88,108.77,180,21,3,1,0,0
2023-10-24,2024-01-11,79,Economy,344.55,297.49,112.79,180,23,3,1,0,0
2023-10-27,2024-01-11,76,Economy,378.38,319.63,109.94,180,29,3,1,0,0
2023-11-10,2024-01-11,62,Economy,402.61,264.87,102.52,180,33,3,1,0,0
2023-11-12,2024-01-11,60,Economy,361.88,386.18,110.29,180,34,3,1,0,0
2023-11-19,2024-01-11,53,Economy,396.55,405.96,113.89,180,35,3,1,0,0
2023-12-07,2024-01-11,35,Economy,364.92,419.75,115.94,180,37,3,1,0,0
2024-01-07,2024-01-11,4,Economy,466.29,592.02,112.58,180,48,3,1,0,0
2023-08-13,2024-01-12,152,Economy,284.7,342.38,110.06,180,5,4,1,0,0
2023-08-21,2024-01-12,144,Economy,288.84,366.73,114.47,180,11,4,1,0,0
2023-09-03,2024-01-12,131,Economy,285.41,307.3,111.96,180,14,4,1,0,0
2023-09-24,2024-01-12,110,Economy,344.59,346.6,105.77,180,23,4,1,0,0
2023-10-16,2024-01-12,88,Economy,342.04,355.02,107.48,180,27,4,1,0,0
2023-11-02,2024-01-12,71,Economy,349.97,324.71,117.19,180,38,4,1,0,0
2023-11-03,2024-01-12,70,Economy,351.23,331.22,106.24,180,42,4,1,0,0
2023-11-10,2024-01-12,63,Economy,416.2,418.42,118.77,180,50,4,1,0,0
2023-11-18,2024-01-12,55,Economy,406.56,408.45,111.39,180,54,4,1,0,0
2023-12-03,2024-01-12,40,Economy,385.64,302.21,109.71,180,60,4,1,0,0
2023-12-29,2024-01-12,14,Economy,440.5,373.91,113.62,180,71,4,1,0,0
2024-01-06,2024-01-12,6,Economy,449.74,533.72,107.84,180,77,4,1,0,0
2023-08-17,2024-01-13,149,Business,913.4,765.95,106.24,40,1,5,1,1,0
2023-08-18,2024-01-13,148,Business,885.35,1016.48,115.79,40,2,5,1,1,0
2023-08-29,2024-01-13,137,Business,978.11,1178.15,100.6,40,2,5,1,1,0
2023-09-07,2024-01-13,128,Business,942.19,959.04,107.14,40,3,5,1,1,0
2023-09-08,2024-01-13,127,Business,980.06,1040.89,108.84,40,3,5,1,1,0
2023-10-05,2024-01-13,100,Business,1084.77,1157.72,115.83,40,4,5,1,1,0
2023-10-15,2024-01-13,90,Business,1153.01,953.97,109.56,40,4,5,1,1,0
2023-11-01,2024-01-13,73,Business,1231.56,1270.65,114.43,40,5,5,1,1,0
2023-11-08,2024-01-13,66,Business,1222.77,1157.53,111.68,40,8,5,1,1,0
2023-11-10,2024-01-13,64,Business,1239.83,1328.64,104.19,40,8,5,1,1,0
2023-11-22,2024-01-13,52,Business,1341.12,1243.75,121.21,40,10,5,1,1,0
2023-12-24,2024-01-13,20,Business,1377.86,1170.69,109.45,40,10,5,1,1,0
2023-08-15,2024-01-14,152,First,2422.78,1907.87,112.22,12,1,6,1,1,0
2023-08-25,2024-01-14,142,First,2601.06,2888.06,111.87,12,1,6,1,1,0
2023-08-26,2024-01-14,141,First,2400.09,2519.27,108.49,12,2,6,1,1,0
2023-10-25,2024-01-14,81,First,3402.32,4318.07,116.57,12,3,6,1,1,0
2023-10-28,2024-01-14,78,First,3319.92,3380.27,110.65,12,4,6,1,1,0
2023-11-05,2024-01-14,70,First,3156.11,2959.9,113.17,12,4,6,1,1,0
2023-11-26,2024-01-14,49,First,3540.1,3895.92,108.13,12,5,6,1,1,0
2023-11-27,2024-01-14,48,First,3275.15,3983.72,107.5,12,6,6,1,1,0
2023-12-17,2024-01-14,28,First,3498.03,3525.41,108.63,12,6,6,1,1,0
2023-12-22,2024-01-14,23,First,3850.84,4047.16,111.58,12,6,6,1,1,0
2023-12-28,2024-01-14,17,First,3910.65,2674.13,108.18,12,7,6,1,1,0
2024-01-03,2024-01-14,11,First,3851.55,4455.59,115.94,12,8,6,1,1,0
2023-07-24,2024-01-18,178,Economy,245.44,265.42,105.22,180,8,3,1,0,0
2023-08-04,2024-01-18,167,Economy,266.01,283.75,109.23,180,12,3,1,0,0
2023-08-17,2024-01-18,154,Economy,263.94,281.96,117.23,180,15,3,1,0,0
2023-08-19,2024-01-18,152,Economy,258.72,223.3,111.13,180,20,3,1,0,0
2023-08-20,2024-01-18,151,Economy,288.33,291.0,110.55,180,23,3,1,0,0
2023-09-20,2024-01-18,120,Economy,312.29,284.36,110.04,180,31,3,1,0,0
2023-10-03,2024-01-18,107,Economy,349.82,382.04,112.99,180,38,3,1,0,0
2023-10-18,2024-01-18,92,Economy,343.05,283.76,108.8,180,40,3,1,0,0
2023-10-31,2024-01-18,79,Economy,355.68,374.46,105.06,180,41,3,1,0,0
2023-11-10,2024-01-18,69,Economy,359.34,346.63,109.08,180,46,3,1,0,0
2023-11-15,2024-01-18,64,Economy,373.91,335.44,116.91,180,52,3,1,0,0
2023-12-17,2024-01-18,32,Economy,366.38,256.38,107.28,180,55,3,1,0,0
2023-07-27,2024-01-20,177,Business,801.83,945.39,99.15,40,1,5,1,1,0
2023-07-28,2024-01-20,176,Economy,239.34,226.3,108.73,180,5,5,1,1,0
2023-07-30,2024-01-20,174,Economy,252.0,208.56,100.46,180,11,5,1,1,0
2023-07-30,2024-01-20,174,Business,823.82,854.76,103.37,40,2,5,1,1,0
2023-08-04,2024-01-20,169,Business,873.69,895.93,107.8,40,4,5,1,1,0
2023-08-08,2024-01-20,165,Business,889.41,679.2,106.69,40,4,5,1,1,0
2023-08-15,2024-01-20,158,Business,835.83,842.54,99.58,40,6,5,1,1,0
2023-08-21,2024-01-20,152,Business,787.98,670.21,116.16,40,7,5,1,1,0
2023-08-22,2024-01-20,151,Economy,288.11,231.05,114.27,180,13,5,1,1,0
2023-09-01,2024-01-20,141,Economy,273.15,260.19,111.83,180,18,5,1,1,0
2023-09-20,2024-01-20,122,Economy,344.85,446.26,103.86,180,20,5,1,1,0
2023-09-25,2024-01-20,117,Economy,298.84,277.05,112.1,180,24,5,1,1,0
2023-09-25,2024-01-20,117,Business,963.58,1079.87,106.62,40,7,5,1,1,0
2023-10-09,2024-01-20,103,Business,1104.14,1408.25,108.99,40,8,5,1,1,0
2023-11-10,2024-01-20,71,Business,1258.24,1114.7,107.2,40,9,5,1,1,0
2023-11-12,2024-01-20,69,Economy,415.92,434.49,114.43,180,27,5,1,1,0
2023-12-09,2024-01-20,42,Economy,375.54,273.55,98.75,180,33,5,1,1,0
2023-12-18,2024-01-20,33,Economy,424.16,470.53,107.12,180,41,5,1,1,0
2023-12-19,2024-01-20,32,Business,1341.39,1536.05,111.46,40,9,5,1,1,0
2023-12-26,2024-01-20,25,Economy,405.49,407.11,112.85,180,46,5,1,1,0
2024-01-01,2024-01-20,19,Business,1363.95,1515.76,100.61,40,9,5,1,1,0
2024-01-09,2024-01-20,11,Economy,460.65,465.35,107.94,180,54,5,1,1,0
2024-01-10,2024-01-20,10,Business,1466.0,1525.39,112.06,40,10,5,1,1,0
2024-01-12,2024-01-20,8,Economy,458.19,455.54,118.7,180,60,5,1,1,0
2023-08-05,2024-01-21,169,Economy,260.79,250.9,112.81,180,4,6,1,1,0
2023-08-21,2024-01-21,153,Economy,274.73,253.84,107.95,180,8,6,1,1,0
2023-08-24,2024-01-21,150,Economy,277.95,293.67,104.37,180,15,6,1,1,0
2023-10-03,2024-01-21,110,Economy,333.75,361.59,110.89,180,23,6,1,1,0
2023-10-17,2024-01-21,96,Economy,324.68,341.06,105.42,180,26,6,1,1,0
2023-11-05,2024-01-21,77,Economy,330.35,422.63,113.01,180,31,6,1,1,0
2023-11-06,2024-01-21,76,Economy,356.57,325.51,113.47,180,40,6,1,1,0
2023-11-17,2024-01-21,65,Economy,419.89,482.59,114.86,180,45,6,1,1,0
2023-11-19,2024-01-21,63,Economy,362.68,407.53,114.61,180,49,6,1,1,0
2023-12-15,2024-01-21,37,Economy,375.45,388.8,109.58,180,56,6,1,1,0
2023-12-28,2024-01-21,24,Economy,420.28,438.57,121.63,180,65,6,1,1,0
2024-01-14,2024-01-21,7,Economy,444.23,563.19,111.79,180,75,6,1,1,0
2023-07-29,2024-01-23,178,Economy,262.03,230.21,114.39,180,2,1,1,0,0
2023-08-01,2024-01-23,175,Economy,247.68,246.84,106.89,180,5,1,1,0,0
2023-08-03,2024-01-23,173,Economy,242.95,268.9,104.09,180,8,1,1,0,0
2023-08-20,2024-01-23,156,Economy,273.74,294.22,99.46,180,11,1,1,0,0
2023-09-16,2024-01-23,129,Economy,315.07,357.4,100.01,180,18,1,1,0,0
2023-10-08,2024-01-23,107,Economy,327.24,317.99,107.88,180,20,1,1,0,0
2023-10-15,2024-01-23,100,Economy,302.72,330.75,112.78,180,24,1,1,0,0
2023-11-20,2024-01-23,64,Economy,393.08,293.59,105.35,180,29,1,1,0,0
2023-12-06,2024-01-23,48,Economy,391.97,287.27,105.98,180,31,1,1,0,0
2023-12-15,2024-01-23,39,Economy,391.94,357.74,108.17,180,36,1,1,0,0
2024-01-03,2024-01-23,20,Economy,419.39,428.19,105.92,180,41,1,1,0,0
2024-01-05,2024-01-23,18,Economy,395.88,397.37,108.9,180,45,1,1,0,0
2023-08-02,2024-01-24,175,Economy,249.73,197.8,102.95,180,6,2,1,0,0
2023-08-07,2024-01-24,170,Economy,247.17,245.14,115.66,180,8,2,1,0,0
2023-08-16,2024-01-24,161,Economy,273.87,227.53,107.53,180,6,2,1,0,0
2023-08-19,2024-01-24,158,Economy,293.08,315.42,110.98,180,12,2,1,0,0
2023-08-22,2024-01-24,155,Economy,275.5,251.49,98.62,180,11,2,1,0,0
2023-08-25,2024-01-24,152,Economy,282.22,253.51,112.66,180,15,2,1,0,0
2023-08-28,2024-01-24,149,Economy,293.07,234.23,115.24,180,12,2,1,0,0
2023-09-01,2024-01-24,145,Economy,297.23,299.3,113.81,180,20,2,1,0,0
2023-09-07,2024-01-24,139,Economy,311.48,254.49,105.85,180,25,2,1,0,0
2023-09-11,2024-01-24,135,Economy,328.84,384.45,110.49,180,20,2,1,0,0
2023-09-15,2024-01-24,131,Economy,318.37,253.02,109.05,180,23,2,1,0,0
2023-09-16,2024-01-24,130,Economy,305.68,296.34,102.64,180,28,2,1,0,0
2023-09-17,2024-01-24,129,Economy,283.79,286.06,109.4,180,34,2,1,0,0
2023-10-21,2024-01-24,95,Economy,353.17,283.68,113.36,180,26,2,1,0,0
2023-10-23,2024-01-24,93,Economy,362.14,320.07,106.91,180,29,2,1,0,0
2023-10-24,2024-01-24,92,Economy,343.67,262.88,111.94,180,42,2,1,0,0
2023-11-14,2024-01-24,71,Economy,402.84,539.86,104.85,180,33,2,1,0,0
2023-11-22,2024-01-24,63,Economy,360.01,352.22,103.92,180,37,2,1,0,0
2023-11-23,2024-01-24,62,Economy,385.38,385.49,111.41,180,48,2,1,0,0
2023-12-09,2024-01-24,46,Economy,389.89,394.1,103.52,180,44,2,1,0,0
2023-12-15,2024-01-24,40,Economy,407.49,258.57,105.08,180,49,2,1,0,0
2023-12-18,2024-01-24,37,Economy,429.1,452.56,106.37,180,49,2,1,0,0
2024-01-15,2024-01-24,9,Economy,403.52,403.04,111.37,180,53,2,1,0,0
2024-01-17,2024-01-24,7,Economy,419.55,385.7,116.14,180,52,2,1,0,0
2023-08-02,2024-01-25,176,First,2020.48,1422.27,111.37,12,0,3,1,0,0
2023-08-13,2024-01-25,165,First,2366.63,2202.58,113.32,12,2,3,1,0,0
2023-10-03,2024-01-25,114,First,2545.48,2839.19,116.11,12,4,3,1,0,0
2023-10-08,2024-01-25,109,First,3018.75,3724.6,105.62,12,6,3,1,0,0
2023-11-12,2024-01-25,74,First,3055.64,3245.67,112.89,12,7,3,1,0,0
2023-11-16,2024-01-25,70,First,3233.19,3950.12,105.5,12,7,3,1,0,0
2023-11-28,2024-01-25,58,First,3394.75,3842.33,102.51,12,8,3,1,0,0
2023-12-01,2024-01-25,55,First,3427.82,2852.81,108.08,12,8,3,1,0,0
2023-12-03,2024-01-25,53,First,3331.38,3446.95,108.5,12,8,3,1,0,0
2023-12-17,2024-01-25,39,First,3663.68,3283.43,109.16,12,9,3,1,0,0
2023-12-22,2024-01-25,34,First,3374.18,3706.0,104.58,12,9,3,1,0,0
2023-12-27,2024-01-25,29,First,3864.7,4032.74,110.79,12,9,3,1,0,0
2023-07-30,2024-01-26,180,Economy,253.07,185.63,106.73,180,8,4,1,0,0
2023-07-31,2024-01-26,179,First,2289.87,2778.33,107.72,12,0,4,1,0,0
2023-08-03,2024-01-26,176,First,2014.32,2094.91,104.68,12,3,4,1,0,0
2023-08-04,2024-01-26,175,Economy,252.54,224.72,112.43,180,12,4,1,0,0
2023-08-20,2024-01-26,159,Economy,269.14,273.37,118.48,180,15,4,1,0,0
2023-08-23,2024-01-26,156,First,2339.33,1940.38,99.22,12,3,4,1,0,0
2023-09-06,2024-01-26,142,First,2496.78,1915.89,112.27,12,3,4,1,0,0
2023-09-18,2024-01-26,130,First,2544.26,2332.62,115.36,12,4,4,1,0,0
2023-09-26,2024-01-26,122,Economy,339.21,364.07,110.85,180,19,4,1,0,0
2023-10-01,2024-01-26,117,First,2903.17,2397.62,110.16,12,8,4,1,0,0
2023-10-04,2024-01-26,114,Economy,326.54,288.96,105.97,180,22,4,1,0,0
2023-10-10,2024-01-26,108,First,2984.13,1678.35,115.95,12,9,4,1,0,0
2023-10-21,2024-01-26,97,Economy,358.74,363.47,111.96,180,28,4,1,0,0
2023-10-24,2024-01-26,94,First,3196.79,3044.64,102.67,12,9,4,1,0,0
2023-11-05,2024-01-26,82,Economy,363.41,286.83,115.61,180,31,4,1,0,0
2023-11-30,2024-01-26,57,First,3577.38,2546.29,115.64,12,10,4,1,0,0
2023-12-12,2024-01-26,45,Economy,374.71,474.6,113.29,180,34,4,1,0,0
2023-12-19,2024-01-26,38,Economy,407.21,366.87,112.91,180,43,4,1,0,0
2023-12-21,2024-01-26,36,First,3502.81,2968.34,114.33,12,10,4,1,0,0
2023-12-30,2024-01-26,27,Economy,409.96,490.41,107.53,180,46,4,1,0,0
2023-12-31,2024-01-26,26,First,3387.24,3182.18,105.68,12,11,4,1,0,0
2024-01-01,2024-01-26,25,First,4013.59,3993.54,104.19,12,11,4,1,0,0
2024-01-04,2024-01-26,22,Economy,415.71,477.86,105.03,180,54,4,1,0,0
2024-01-09,2024-01-26,17,Economy,433.32,360.33,113.83,180,60,4,1,0,0
2023-07-31,2024-01-27,180,Economy,245.72,193.87,100.11,180,1,5,1,1,0
2023-08-07,2024-01-27,173,Economy,250.38,202.08,109.83,180,4,5,1,1,0
2023-08-20,2024-01-27,160,Economy,246.87,209.75,101.3,180,4,5,1,1,0
2023-08-27,2024-01-27,153,Economy,290.17,249.64,105.0,180,7,5,1,1,0
2023-09-22,2024-01-27,127,Economy,309.11,299.13,105.93,180,15,5,1,1,0
2023-09-26,2024-01-27,123,Economy,319.4,264.13,110.79,180,14,5,1,1,0
2023-09-28,2024-01-27,121,Economy,327.94,370.77,105.98,180,17,5,1,1,0
2023-09-30,2024-01-27,119,Economy,306.44,341.92,108.6,180,21,5,1,1,0
2023-10-02,2024-01-27,117,Economy,313.05,350.17,114.9,180,18,5,1,1,0
2023-10-22,2024-01-27,97,Economy,342.42,337.38,106.75,180,24,5,1,1,0
2023-10-25,2024-01-27,94,Economy,352.3,378.53,114.56,180,25,5,1,1,0
2023-11-02,2024-01-27,86,Economy,358.26,399.77,112.78,180,29,5,1,1,0
2023-11-02,2024-01-27,86,Economy,357.12,388.15,120.93,180,28,5,1,1,0
2023-11-10,2024-01-27,78,Economy,346.56,292.29,109.8,180,34,5,1,1,0
2023-11-16,2024-01-27,72,Economy,410.82,378.54,112.11,180,35,5,1,1,0
2023-11-16,2024-01-27,72,Economy,379.11,343.82,102.09,180,35,5,1,1,0
2023-11-27,2024-01-27,61,Economy,386.98,436.1,111.6,180,39,5,1,1,0
2023-12-04,2024-01-27,54,Economy,412.73,348.56,109.58,180,40,5,1,1,0
2023-12-12,2024-01-27,46,Economy,420.52,455.27,98.11,180,42,5,1,1,0
2023-12-13,2024-01-27,45,Economy,409.55,458.05,113.04,180,46,5,1,1,0
2023-12-24,2024-01-27,34,Economy,425.23,483.18,110.63,180,51,5,1,1,0
2023-12-29,2024-01-27,29,Economy,402.75,360.81,105.29,180,44,5,1,1,0
2024-01-01,2024-01-27,26,Economy,398.46,411.87,113.0,180,49,5,1,1,0
2024-01-06,2024-01-27,21,Economy,454.42,497.6,113.02,180,53,5,1,1,0
2023-08-05,2024-01-28,176,Economy,244.97,221.74,113.08,180,5,6,1,1,0
2023-08-09,2024-01-28,172,Economy,273.57,360.02,107.12,180,8,6,1,1,0
2023-08-10,2024-01-28,171,Economy,275.14,313.43,122.86,180,2,6,1,1,0
2023-08-11,2024-01-28,170,Economy,237.6,305.07,113.41,180,1,6,1,1,0
2023-08-26,2024-01-28,155,Economy,270.97,234.79,96.19,180,10,6,1,1,0
2023-08-26,2024-01-28,155,Economy,263.63,267.69,108.79,180,13,6,1,1,0
2023-08-31,2024-01-28,150,Economy,302.72,305.26,112.48,180,15,6,1,1,0
2023-09-02,2024-01-28,148,Economy,301.01,276.54,115.74,180,6,6,1,1,0
2023-09-03,2024-01-28,147,Economy,284.81,287.8,112.86,180,17,6,1,1,0
2023-09-09,2024-01-28,141,Economy,311.78,365.11,110.06,180,19,6,1,1,0
2023-09-17,2024-01-28,133,Economy,295.3,329.36,114.1,180,22,6,1,1,0
2023-09-17,2024-01-28,133,Economy,289.15,218.8,113.07,180,12,6,1,1,0
2023-09-22,2024-01-28,128,Economy,323.16,279.43,102.24,180,20,6,1,1,0
2023-09-28,2024-01-28,122,Economy,306.72,310.61,123.84,180,22,6,1,1,0
2023-09-28,2024-01-28,122,Economy,330.1,300.17,100.79,180,25,6,1,1,0
2023-10-06,2024-01-28,114,Economy,318.29,414.76,101.33,180,20,6,1,1,0
2023-10-07,2024-01-28,113,Economy,347.72,425.45,111.79,180,28,6,1,1,0
2023-10-21,2024-01-28,99,Economy,319.79,286.08,106.13,180,30,6,1,1,0
2023-10-21,2024-01-28,99,Economy,378.64,414.99,117.37,180,35,6,1,1,0
2023-10-22,2024-01-28,98,Economy,357.62,352.96,111.7,180,48,6,1,1,0
2023-10-27,2024-01-28,93,Economy,352.35,383.22,105.46,180,34,6,1,1,0
2023-11-04,2024-01-28,85,Economy,321.53,371.61,107.28,180,55,6,1,1,0
2023-11-14,2024-01-28,75,Economy,393.79,382.56,99.73,180,23,6,1,1,0
2023-11-22,2024-01-28,67,Economy,357.34,347.89,106.54,180,31,6,1,1,0
2023-11-22,2024-01-28,67,Economy,350.56,262.85,114.12,180,63,6,1,1,0
2023-11-24,2024-01-28,65,Economy,364.87,449.02,111.06,180,69,6,1,1,0
2023-11-29,2024-01-28,60,Economy,418.15,362.88,111.09,180,35,6,1,1,0
2023-12-06,2024-01-28,53,Economy,397.45,469.54,117.86,180,37,6,1,1,0
2023-12-10,2024-01-28,49,Economy,393.29,399.61,114.24,180,40,6,1,1,0
2023-12-11,2024-01-28,48,Economy,411.86,364.78,115.45,180,45,6,1,1,0
2023-12-21,2024-01-28,38,Economy,399.87,346.9,113.94,180,40,6,1,1,0
2024-01-04,2024-01-28,24,Economy,415.83,263.68,112.52,180,54,6,1,1,0
2024-01-10,2024-01-28,18,Economy,435.35,501.22,112.42,180,52,6,1,1,0
2024-01-11,2024-01-28,17,Economy,395.33,413.64,105.56,180,64,6,1,1,0
2024-01-14,2024-01-28,14,Economy,413.02,409.57,110.03,180,77,6,1,1,0
2024-01-25,2024-01-28,3,Economy,444.7,380.04,105.22,180,85,6,1,1,0
2023-08-03,2024-01-29,179,Economy,237.99,217.72,106.9,180,4,0,1,0,0
2023-08-04,2024-01-29,178,Economy,255.29,223.82,117.88,180,4,0,1,0,0
2023-08-08,2024-01-29,174,Business,803.98,818.31,108.0,40,1,0,1,0,0
2023-08-18,2024-01-29,164,Business,828.79,914.71,117.18,40,1,0,1,0,0
2023-08-19,2024-01-29,163,Economy,256.19,247.16,122.29,180,3,0,1,0,0
2023-08-19,2024-01-29,163,Economy,270.59,256.8,105.55,180,10,0,1,0,0
2023-09-02,2024-01-29,149,Economy,259.18,298.82,115.8,180,5,0,1,0,0
2023-09-23,2024-01-29,128,Economy,319.32,338.07,108.03,180,10,0,1,0,0
2023-09-28,2024-01-29,123,Economy,325.09,367.61,106.53,180,16,0,1,0,0
2023-10-04,2024-01-29,117,Economy,333.21,371.69,114.84,180,21,0,1,0,0
2023-10-20,2024-01-29,101,Economy,329.94,352.98,104.95,180,24,0,1,0,0
2023-10-21,2024-01-29,100,Business,1110.75,1070.83,111.83,40,3,0,1,0,0
2023-10-25,2024-01-29,96,Economy,349.94,354.9,110.05,180,31,0,1,0,0
2023-10-25,2024-01-29,96,Economy,369.59,373.17,112.86,180,12,0,1,0,0
